"BRAHMS"	"CLASS"	"ORDEM"	"DEFINICAO"	"FieldsToPut"	"NamesToMatch"	"TabelaParaPor"
"COLLECTOR"	"Coleta"	"1"	"Coletor nome"	"ColetorID"	"Coletor;Collector"	"Especimenes"
"NUMBER"	"Coleta"	"3"	"Número de coleta"	"Number"	"Number;Número"	"Especimenes"
"PREFIXO"	"Coleta"	"4"	"PREFIXO do número de coleta"	"Prefixo"	"Prefix;Prefixo"	"Especimenes"
"SUFIXO"	"Coleta"	"5"	"SUFIXO do número de coleta"	"Sufix"	"Sufixo;Sufix"	"Especimenes"
"DATACOL"	"Coleta"	"6"	"Data da coleta completo"	"DataCol"	"Data;DataColeta;DataCol"	"Especimenes"
"COLLDD"	"Coleta"	"7"	"Data da coleta DIA"	"Day"	"Dia;Day;COLLDD"	"Especimenes"
"COLLMM"	"Coleta"	"8"	"Data da coleta MES"	"Mes"	"Mes;Month;COLLMM"	"Especimenes"
"COLLYY"	"Coleta"	"9"	"Data da coleta ANO"	"Ano"	"Ano;Year;COLLYY"	"Especimenes"
"INPA_NUM"	"Coleta"	"10"	"Número de registro do herbário INPA"	"INPA_ID"	"INPA;INPA_NUM"	"Especimenes"
"HERBARIA"	"Coleta"		"Sigla(s) do(s) herbário(s) onde a amostra esta depositada (separados por ; se for o caso)"			"Especimenes"
"FAMILY"	"Identificação"	"11"	"Família"	"FamiliaID"	"Familia;Family"	"Identidade"
"GENUS"	"Identificação"	"12"	"Gênero"	"GeneroID"	"Genus;Genero"	"Identidade"
"SP1"	"Identificação"	"13"	"Espécie epíteto apenas"	"EspecieID"	"Especie;SP1"	"Identidade"
"AUTHOR1"	"Identificação"	"14"	"Espécie AUTOR"		"EspecieAutor;AUTHOR1"	
"RANK1"	"Identificação"	"15"	"Categoria infraespecífica variedade, subespecie, forma, etc."		"InfraEspecieNivel;Rank1"	
"SP2"	"Identificação"	"16"	"Infra-espécie epíteto"	"InfraEspecieID"	"InfraEspecie;SubEspecie;Variedade;SP2"	"Identidade"
"AUTHOR2"	"Identificação"	"17"	"Infra-espécie AUTOR"		"Author2;InfraEspecieAutor"	
"CF"	"Identificação"	"17"	"Modificador do nome (cf., aff., vel.aff., s.s., s.l.)"	"DetModifier"	"CF;DetModifier"	"Identidade"
"DETBY"	"Identificação"	"18"	"Determinador NOME"	"DetbyID"	"Determinador;Detby"	"Identidade"
"DATADET"	"Identificação"	"19"	"Data da identificação"	"DetDate"	"DetDate;DATADET"	"Identidade"
"DETDD"	"Identificação"	"20"	"Data da identificação DIA"	"DetDateDD"	"DETDD;DetDateDD"	"Identidade"
"DETMM"	"Identificação"	"21"	"Data da identificação MES"	"DetDateMM"	"DetMM;DetDateMM"	"Identidade"
"DETYY"	"Identificação"	"22"	"Data da identificação ANO"	"DetDateYY"	"DetYY;DetDateYY"	"Identidade"
"TAG_NUM"	"Inventário"	"23"	"Número da placa da planta marcada"	"PlantaTag"	"TAG_NUM;Placa;PlantaTag"	"Plantas"
"TAGGEDDATE"	"Inventário"	"25"	"Data de marcação"	"TaggedDate"	"TaggedDate;MarcadoPor"	"Plantas"
"X"	"Inventário"	"26"	"X - posição da planta marcada"	"X"	"X;dx"	"Plantas"
"Y"	"Inventário"	"27"	"Y - posição da planta marcada"	"Y"	"Y;dY"	"Plantas"
"LADO"	"Inventário"	"28"	"LADO (protocolo PELD)"	"LADO"	"LADO"	"Plantas"
"DIST"	"Inventário"	"29"	"Distancia da localidade à planta"	"Distancia"	"Dist;Distancia"	"Plantas"
"ANGULO"	"Inventário"	"30"	"ANGULO da direção da planta em relacao ao NM"	"Angulo"	"Angulo"	"Plantas"
"COUNTRY"	"Localidade"	"31"	"PAIS"	"CountryID"	"Pais;Country"	"Especimenes;Gazetteer"
"MAJORAREA"	"Localidade"	"32"	"MAJORAREA = provincias, departamentos, estados"	"ProvinceID"	"Provincia;Province;Majorarea"	"Especimenes;Gazetteer"
"MINORAREA"	"Localidade"	"33"	"MINORAREA = municipios"	"MunicipioID"	"Municipio;Minorarea"	"Especimenes;Gazetteer"
"GAZETTEER"	"Localidade"	"34"	"Localidade (gazetteer)"	"GazetteerID"	"Localidade;Gazetteer"	"Especimenes;Plantas"
"LATITUDE"	"Localidade"	"35"	"LATITUDE em décimos de grau"	"Latitude"	"Latitude"	"Especimenes;Plantas;Gazetteer"
"LONGITUDE"	"Localidade"	"36"	"LONGITUDE em décimos de grau"	"Longitude"	"Longitude"	"Especimenes;Plantas;Gazetteer"
"ALTITUDE"	"Localidade"	"37"	"ALTITUDE"	"Altitude"	"Altitude"	"Especimenes;Plantas;Gazetteer"
"COORD_PRECISION"	"Localidade"	"38"	"Referência das coordenadas geográficas"			
"PROJETO"	"Outros"	"40"	"Nome do projeto"	"ProjetoID"	"Projeto"	"Especimenes;Plantas"
"MONI_VAR"	"Outros"	"41"	"Variável de monitoramento"			
"ESTA_VAR"	"Outros"	"42"	"Variável estática"			
"TAGGEDBY"	"Inventário"	"24"	"Equipe ou pessoa que marcou plantas (separados por ;)"	"TaggedBy"	"TaggedBy"	"Plantas"
"DATA_MONI"	"Outros"	"43"	"Data de monitoramento"			
"VERNACULAR"	"Identificação"	"23"	"Nome vulgar (vernacular), separados por ;"""""	"VernacularIDS"	"Vernacular;nomevulgar"	"Especimenes;Plantas"
"REFCOLETOR"	"Identificação"	"25"	"Coletor da amostra de referência da identificação"	"RefColetor"	"RefColetor"	"Identidade"
"REFCOLNUM"	"Identificação"	"26"	"Número de coletor da amostra de referência da identificação"	"RefColnum"	"RefColnum"	"Identidade"
"REFHERBARIUM"	"Identificação"	"27"	"Sigla do herbário da amostra de referência da identificação"	"RefHerbarium"	"RefHerbarium"	"Identidade"
"REFHERBNUM"	"Identificação"	"28"	"Número do herbário da amostra de referência da identificação"	"RefHerbNum"	"RefHerbNum"	"Identidade"
"REFDETBY"	"Identificação"	"28"	"Determinador da identificação da amostra de referência da identificação"	"RefDetby"	"RefDetby"	"Identidade"
"REFDETDATE"	"Identificação"	"29"	"Data da identificação da amostra de referência da identificação"	"RefDetDate"	"RefDetDate"	"Identidade"
"ADDCOLL"	"Coleta"	"2"	"Coletores adicionais"	"AddColIDS"	"ADDCOLL;Coletores"	"Especimenes"
"HABITAT"	"Outros"	"1"	"Classe de habitat (e.g. Terra Firme, Igapó, Várzea, etc..)"	"HabitatID"	"Habitat;Ambiente"	"Especimenes;Plantas"
