"COLUNA"	"DEFINICAO"
"SUB_ARE"	"Areia. (Porcentagem de areia no solo). Variavel Quantitativo. Unidade de medida padrao %."
"SUB_ARE_UNIT"	"Unidade da medicao da variavel SUB_ARE"
"SUB_SIL"	"Silte. (Porcentagem de silte no solo). Variavel Quantitativo. Unidade de medida padrao %."
"SUB_SIL_UNIT"	"Unidade da medicao da variavel SUB_SIL"
"SUB_ARG"	"Argila. (Porcentagem de argila no solo). Variavel Quantitativo. Unidade de medida padrao %."
"SUB_ARG_UNIT"	"Unidade da medicao da variavel SUB_ARG"
"DOS_ALTDODOS"	"Altura do dossel. (Altura dossel em metros). Variavel Quantitativo. Unidade de medida padrao m."
"DOS_ALTDODOS_UNIT"	"Unidade da medicao da variavel DOS_ALTDODOS"
"HAB_INCMED"	"Inclinação média. (Inclinação média do terreno local). Variavel Quantitativo. Unidade de medida padrao graus."
"HAB_INCMED_UNIT"	"Unidade da medicao da variavel HAB_INCMED"
"HAB_LENFREMAX"	"Lençol freático máximo. (Nível máximo do lençol freático, medido em relação ao nível do solo). Variavel Quantitativo. Unidade de medida padrao m."
"HAB_LENFREMAX_UNIT"	"Unidade da medicao da variavel HAB_LENFREMAX"
"HAB_ELE"	"Elevação. (Altitude média da parcela). Variavel Quantitativo. Unidade de medida padrao m."
"HAB_ELE_UNIT"	"Unidade da medicao da variavel HAB_ELE"
"SUB_MANMN"	"Manganês (mn). (Quantidade do micronutriente manganês no solo). Variavel Quantitativo. Unidade de medida padrao -."
"SUB_MANMN_UNIT"	"Unidade da medicao da variavel SUB_MANMN"
"SUB_ZINZN"	"Zinco (zn). (Quantidade do micronutriente Zinco no solo). Variavel Quantitativo. Unidade de medida padrao -."
"SUB_ZINZN_UNIT"	"Unidade da medicao da variavel SUB_ZINZN"
"SUB_MAG"	"Magnésio. (Quantidade trocável de Magnésio no solo). Variavel Quantitativo. Unidade de medida padrao trocável."
"SUB_MAG_UNIT"	"Unidade da medicao da variavel SUB_MAG"
"SUB_CAL"	"Cálcio. (Quantidade de cálcio trocável no solo). Variavel Quantitativo. Unidade de medida padrao trocável."
"SUB_CAL_UNIT"	"Unidade da medicao da variavel SUB_CAL"
"SUB_POT"	"Potássio. (Quantidade de K potássio trocável no solo). Variavel Quantitativo. Unidade de medida padrao trocável."
"SUB_POT_UNIT"	"Unidade da medicao da variavel SUB_POT"
"SUB_ALU"	"Alumínio. (Quantidade de alumínio (Al) trocável no solo). Variavel Quantitativo. Unidade de medida padrao trocável."
"SUB_ALU_UNIT"	"Unidade da medicao da variavel SUB_ALU"
"SUB_FERFE"	"Ferro (fe). (Quantidade do micronutriente Fe no solo). Variavel Quantitativo. Unidade de medida padrao -."
"SUB_FERFE_UNIT"	"Unidade da medicao da variavel SUB_FERFE"
"SUB_FOSP"	"Fósforo (p). (Quantidade de fósforo no solo). Variavel Quantitativo. Unidade de medida padrao -."
"SUB_FOSP_UNIT"	"Unidade da medicao da variavel SUB_FOSP"
"SUB_PH"	"pH. (Valor de pH do solo). Variavel Quantitativo. Unidade de medida padrao ph."
"SUB_PH_UNIT"	"Unidade da medicao da variavel SUB_PH"
