"WikiEspecimenID"	"IDENTIFICADOR"	"COLLECTOR"	"NUMBER"	"COLLDD"	"COLLMM"	"COLLYY"	"FAMILY"	"GENUS"	"SPECIES"	"INFRASPECIES"	"NOME"	"HABITAT_CLASSE"	"COUNTRY"	"MINORAREA"	"MAJORAREA"	"GAZETTEER_CURTO"	"GAZETTEER_COMPLETA"	"GAZETTEER_SPECIFIC"	"LATITUDE"	"LONGITUDE"	"ALTITUDE"	"DAPmm"	"ALTURAm"	"FERTILIDADE"
"6564"	"COS54392009"	"Costa, F.M."	"5439"	"5"	"11"	"2009"	"Rubiaceae"	"Spermacoce"				"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"72.6"		"flores"
"6565"	"PRA12482009"	"Prata, E."	"1248"	"5"	"11"	"2009"	"Rubiaceae"	"Pagamea"	"hirsuta"		"Pagamea hirsuta"	"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"34.1"		"frutos"
"6566"	"DAM2202009"	"Damasco, G."	"220"	"5"	"11"	"2009"	"Rubiaceae"	"Duroia"	"longiflora"		"Duroia longiflora"	"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"38.4"		"frutos"
"6567"	"COS17212009"	"Costa, F.M."	"1721"	"5"	"11"	"2009"	"Burseraceae"	"Protium"	"aracouchini"		"Protium aracouchini"	"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"102.4"		"flores; frutos"
"6568"	"CAR26432009"	"Carvalho, F.A."	"2643"	"5"	"11"	"2009"	"Rubiaceae"	"Pagamea"	"angustifolia"		"Pagamea"	"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"38"		"frutos; estéril"
"6569"	"STE25432009"	"Steyermark, J.A."	"2543"	"5"	"11"	"2009"	"Malpighiaceae"	"Blepharandra"	"intermedia"		"Blepharandra intermedia"	"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"32.9"		"frutos"
"6570"	"BRA31892009"	"Braga-neto, R."	"3189"	"5"	"11"	"2009"	"Rubiaceae"	"Pagamea"	"sp. nov. bahiana"		"Pagamea"	"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"69.3"		"flores"
"6571"	"DÁV10172009"	"Dávila, N.C."	"1017"	"5"	"11"	"2009"	"Xyridaceae"	"Xyris"	"involucrata"		"Xyris involucrata"	"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"12.5"		"frutos"
"6572"	"PRA11052009"	"Prata, E."	"1105"	"5"	"11"	"2009"	"Rubiaceae"	"Pagamea"	"coriacea"		"Pagamea coriacea"	"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"25.4"		"flores"
"6573"	"POM5002009"	"Pombo, M.M."	"500"	"5"	"11"	"2009"	"Rubiaceae"	"Pagamea"	"capitata"		"Pagamea capitata"	"Campinarana. Campinarana Florestada. Inundável"	"Brasil"	"Caracaraí"	"Roraima"	"Parque Nacional Viruá"	"Parque Nacional Viruá - GRID PPBIO - Parcela L01-2500"	"Parcela L01-2500"	"1.423538"	"-60.984451"		"41.2"		"frutos"
