"WikiEspecimenID"	"NOMEsequencia"	"FAMILY"	"GENUS"	"SPECIES"	"INFRASPECIES"	"NOME"	"NCBI"
"8172"	"Cnemorosa_8172"	"Clusiaceae"	"Clusia"	"nemorosa"	""	"Clusia nemorosa"	"EU872621"
"8184"	"Pacrensis_8184"	"Rubiaceae"	"Pagamea"	"acrensis"	""	"Pagamea acrensis"	"EU872632"
"8249"	"Aheterophylla_8249"	"Fabaceae"	"Aldina"	"heterophylla"	""	"Aldina heterophylla"	"EU872638"
"8143"	"Tpfermini_8143"	"Adiantaceae"	"Trichomanes"	"pfermini"	""	"Trichomanes"	"EU872581"
"8153"	"Rdiscolor_8153"	"Rubiaceae"	"Retiniphyllum"	"discolor"	""	"Retiniphyllum discolor"	"EU872594"
"8154"	"Pmontana_8154"	"Rubiaceae"	"Pagamea"	"montana"	""	"Pagamea montana"	"EU872596"
"8155"	"Sumbellatus_8155"	"Eriocaulaceae"	"Syngonanthus"	"umbellatus"	""	"Syngonanthus umbellatus"	"EU872598"
"8162"	"Miconia_8162"	"Melastomataceae"	"Miconia"	""	""	"Miconia"	"EU872600"
"8165"	"Paracouchini_8165"	"Burseraceae"	"Protium"	"aracouchini"	""	"Protium aracouchini"	"EU872605"
"8202"	"Hsp-24_8202"	"Humiriaceae"	"Humiria"	"sp.24"	""	"Humiria"	"EU872663"
"8192"	"Hirtella_8192"	"Chrysobalanaceae"	"Hirtella"	""	""	""	"EU872645"
"8195"	"Protium_8195"	"Burseraceae"	"Protium"	""	""	""	"EU872649"
"8197"	"Pguianensis_8197"	"Rubiaceae"	"Pagamea"	"guianensis"	""	"Pagamea guianensis"	"EU872652"
"8201"	"Pcoriacea_8201"	"Rubiaceae"	"Pagamea"	"coriacea"	""	"Pagamea coriacea"	"EU872661"
"8199"	"_8199"	"Orchidaceae"	""	""	""	""	"EU872655"
"8141"	"_8141"	"Solanaceae"	""	""	""	""	"EU872578"
"8204"	"Paracouchini_8204"	"Burseraceae"	"Protium"	"aracouchini"	""	"Protium aracouchini"	"EU872666"
"8220"	"Pcapitata_8220"	"Rubiaceae"	"Pagamea"	"capitata"	""	"Pagamea capitata"	"EU872686"
"8145"	"_8145"	"Asteraceae"	""	""	""	""	"EU872585"
"8144"	"Marborescens_8144"	"Araceae"	"Montrichardia"	"arborescens"	""	"Montrichardia arborescens"	"EU872583"
"8169"	"_8169"	"Malpighiaceae"	""	""	""	"Malpighiaceae"	"EU872615"
"8170"	"Csp-1_8170"	"Chrysobalanaceae"	"Couepia"	"sp.1"	""	"Couepia"	"EU872617"
"8194"	"Cpunctatus_8194"	"Myrsinaceae"	"Cybianthus"	"punctatus"	""	"Cybianthus punctatus"	"EU872647"
"8149"	"Cnemorosa_8149"	"Clusiaceae"	"Clusia"	"nemorosa"	""	"Clusia nemorosa"	"EU872587"
"8182"	"Dcoccinea_8182"	"Fabaceae"	"Dimorphandra"	"coccinea"	""	"Dimorphandra coccinea"	"EU872628"
