"WikiEspecimenID"	"NOMEsequencia"	"FAMILY"	"GENUS"	"SPECIES"	"INFRASPECIES"	"NOME"	"NCBI"
"8333"	"Pschomburgkiana_8333"	"Sapotaceae"	"Pradosia"	"schomburgkiana"	""	"Pradosia schomburgkiana"	"EU872890"
"8139"	"Protium_8139"	"Burseraceae"	"Protium"	""	""	""	"EU872889"
"8194"	"Cpunctatus_8194"	"Myrsinaceae"	"Cybianthus"	"punctatus"	""	"Cybianthus punctatus"	"EU872901"
"8201"	"Pcoriacea_8201"	"Rubiaceae"	"Pagamea"	"coriacea"	""	"Pagamea coriacea"	"EU872902"
"8149"	"Cnemorosa_8149"	"Clusiaceae"	"Clusia"	"nemorosa"	""	"Clusia nemorosa"	"EU872907"
"8199"	"_8199"	"Orchidaceae"	""	""	""	""	"EU872921"
"8217"	"Pangustifolia_8217"	"Rubiaceae"	"Pagamea"	"angustifolia"	""	"Pagamea"	"EU872846"
"8208"	"Pmacrophylla_8208"	"Rubiaceae"	"Pagamea"	"macrophylla"	""	"Pagamea macrophylla"	"EU872895"
"8174"	"_8174"	"Olacaceae"	""	""	""	"Olacaceae"	"EU872970"
"8196"	"Pangustifolia_8196"	"Rubiaceae"	"Pagamea"	"angustifolia"	""	"Pagamea"	"EU872971"
"8230"	"Pcoriacea_8230"	"Rubiaceae"	"Pagamea"	"coriacea"	""	"Pagamea coriacea"	"EU872987"
"8212"	"Psp-1_8212"	"Rubiaceae"	"Psychotria"	"sp.1"	""	"Psychotria"	"EU872982"
"8206"	"Unonopsis_8206"	"Annonaceae"	"Unonopsis"	""	""	""	"EU872981"
"8142"	"Presinosa_8142"	"Rubiaceae"	"Pagamea"	"resinosa"	""	"Pagamea resinosa"	"EU872984"
"8299"	"Msp-5_8299"	"Myrtaceae"	"Myrcia"	"sp.5"	""	"Myrcia"	"EU872985"
"8318"	"Pangustifolia_8318"	"Rubiaceae"	"Pagamea"	"angustifolia"	""	"Pagamea"	"EU872988"
"8151"	"Pthyrsiflora_8151"	"Rubiaceae"	"Pagamea"	"thyrsiflora"	""	"Pagamea thyrsiflora"	"EU872989"
"8193"	"Pcoriacea_8193"	"Rubiaceae"	"Pagamea"	"coriacea"	""	"Pagamea coriacea"	"EU872973"
"8177"	"Clusia_8177"	"Clusiaceae"	"Clusia"	""	""	""	"EU872976"
"8181"	"Cybianthus_8181"	"Myrsinaceae"	"Cybianthus"	""	""	"Cybianthus"	"EU872977"
"8216"	"Asp-2_8216"	"Xyridaceae"	"Abolboda"	"sp.2"	""	"Abolboda"	"EU872978"
"9633"	"Cglabrum_9633"	"Caryocaraceae"	"Caryocar"	"glabrum"	""	"Caryocar cf. glabrum"	"EU872986"
"8305"	"Ssp-1_8305"	"Smilacaceae"	"Smilax"	"sp.1"	""	"Smilax"	"EU872898"
"8178"	"Psp-2_8178"	"Loranthaceae"	"Psittacanthus"	"sp.2"	""	"Psittacanthus"	"EU872954"
"8148"	"Epusilla_8148"	"Orchidaceae"	"Erycina"	"pusilla"	""	"Erycina pusilla"	"EU872979"
"8215"	"Pplicatiformis_8215"	"Rubiaceae"	"Pagamea"	"plicatiformis"	""	"Pagamea plicatiformis"	"EU872903"
"8301"	"Pcapitata_8301"	"Rubiaceae"	"Pagamea"	"capitata"	""	"Pagamea capitata"	"EU872917"
"8187"	"Stenuis_8187"	"Eriocaulaceae"	"Syngonanthus"	"tenuis"	""	"Syngonanthus tenuis"	"EU872929"
"8185"	"Pocculta_8185"	"Rubiaceae"	"Pagamea"	"occulta"	""	"Pagamea"	"EU872923"
"8137"	"Bmacrocalyx_8137"	"Malvaceae"	"Bombacopsis"	"macrocalyx"	""	"Bombacopsis cf. macrocalyx"	"EU872925"
"8200"	"Pangustifolia_8200"	"Rubiaceae"	"Pagamea"	"angustifolia"	""	"Pagamea"	"EU872932"
"8205"	"Ipunctata_8205"	"Fabaceae"	"Inga"	"punctata"	""	"Inga punctata"	"EU872922"
"8141"	"_8141"	"Solanaceae"	""	""	""	""	"EU872926"
"8191"	"Csp-6_8191"	"Myrsinaceae"	"Cybianthus"	"sp.6"	""	"Cybianthus"	"EU872924"
"8164"	"Pguianensis_8164"	"Rubiaceae"	"Pagamea"	"guianensis"	""	"Pagamea guianensis"	"EU872928"
"8294"	"Bcanescens_8294"	"Annonaceae"	"Bocageopsis"	"canescens"	""	"Bocageopsis canescens"	"EU872930"
"8163"	"Dsp-1_8163"	"Dioscoreaceae"	"Dioscorea"	"sp.1"	""	"Dioscorea"	"EU872931"
"8235"	"Raurantiaca_8235"	"Orchidaceae"	"Rudolfiella"	"aurantiaca"	""	"Rudolfiella aurantiaca"	"EU872935"
"8234"	"Parkia_8234"	"Leguminosae"	"Parkia"	""	""	""	"EU872936"
"8332"	"Gheteropetala_8332"	"Annonaceae"	"Guatteria"	"heteropetala"	""	"Guatteria heteropetala"	"EU872969"
"8211"	"Ufimbriata_8211"	"Lentibulariaceae"	"Utricularia"	"fimbriata"	""	"Utricularia fimbriata"	"EU872983"
"8214"	"Csp-4_8214"	"Sapindaceae"	"Cupania"	"sp.4"	""	"Cupania"	"EU872980"
"8172"	"Cnemorosa_8172"	"Clusiaceae"	"Clusia"	"nemorosa"	""	"Clusia nemorosa"	"EU872937"
"8253"	"Oesmeraldana_8253"	"Lauraceae"	"Ocotea"	"esmeraldana"	""	"Ocotea esmeraldana"	"EU872940"
"8173"	"_8173"	"Clusiaceae"	""	""	""	""	"EU872939"
"8175"	"Pcoriacea_8175"	"Rubiaceae"	"Pagamea"	"coriacea"	""	"Pagamea coriacea"	"EU872897"
"8192"	"Hirtella_8192"	"Chrysobalanaceae"	"Hirtella"	""	""	""	"EU872927"
"8210"	"Sloanea_8210"	"Elaeocarpaceae"	"Sloanea"	""	""	"Sloanea"	"EU872894"
"8310"	"_8310"	"Meliaceae"	""	""	""	"Meliaceae"	"EU872847"
"8136"	"Csavannarum_8136"	"Clusiaceae"	"Caraipa"	"savannarum"	""	"Caraipa savannarum"	"EU872849"
"8326"	"Pthyrsiflora_8326"	"Rubiaceae"	"Pagamea"	"thyrsiflora"	""	"Pagamea thyrsiflora"	"EU872974"
"8147"	"Pplicatiformis_8147"	"Rubiaceae"	"Pagamea"	"plicatiformis"	""	"Pagamea plicatiformis"	"EU872968"
"8325"	"Pdudleyi_8325"	"Rubiaceae"	"Pagamea"	"dudleyi"	""	"Pagamea dudleyi"	"EU872975"
"8138"	"_8138"	"Clusiaceae"	""	""	""	"Clusiaceae"	"EU872955"
"8180"	"Humiria_8180"	"Humiriaceae"	"Humiria"	""	""	""	"EU872966"
"8269"	"Pspruceana_8269"	"Rubiaceae"	"Pagamea"	"spruceana"	""	"Pagamea"	"EU872967"
"8328"	"Pguianensis_8328"	"Rubiaceae"	"Pagamea"	"guianensis"	""	"Pagamea guianensis"	"EU872972"
"8244"	"Eatabapoensis_8244"	"Sapotaceae"	"Ecclinusa"	"atabapoensis"	""	"Ecclinusa atabapoensis"	"EU872990"
"8197"	"Pguianensis_8197"	"Rubiaceae"	"Pagamea"	"guianensis"	""	"Pagamea guianensis"	"EU872848"
"8198"	"_8198"	"Poaceae"	""	""	""	""	"EU872896"
"9960"	"Llanceolata_9960"	"Chrysobalanaceae"	"Licania"	"lanceolata"	""	"Licania lanceolata"	"EU872904"
"8195"	"Protium_8195"	"Burseraceae"	"Protium"	""	""	""	"EU872906"
"8182"	"Dcoccinea_8182"	"Fabaceae"	"Dimorphandra"	"coccinea"	""	"Dimorphandra coccinea"	"EU872950"
"8260"	"Tabernaemontana_8260"	"Apocynaceae"	"Tabernaemontana"	""	""	"Tabernaemontana"	"EU872905"
"8135"	"_8135"	"Loranthaceae"	""	""	""	""	"EU872942"
