"WikiPlantaID"	"TAG_NUM"	"Family"	"Genus"	"Species"	"LOCAL"	"PosX"	"PosY"	"DAPultimo"	"DAPpom"	"STATUS"	"OBS"
"17249"	"1255"	"Ochnaceae"	"Ouratea"	"Ouratea"	"Parcela 52"	"0.5"	"4.5"	"50"	""	"Viva"	""
"17779"	"2032"	"Sapotaceae"	""	"Sapotaceae"	"Parcela 19"	"0.4"	"42.4"	"35"	""	"Viva"	""
"17781"	"2376"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 14"	"0.8"	"15.7"	"38"	""	"Viva"	""
"17782"	"2496"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 16"	"0.3"	"20.4"	"40"	""	"Viva"	""
"17783"	"362"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 16"	"0.2"	"25.2"	"34; 44"	""	"Viva"	""
"17784"	"1921"	"Clusiaceae"	"Tovomita"	"Tovomita"	"Parcela 16"	"0.2"	"43.2"	"33"	""	"Viva"	""
"17785"	"360"	"Rubiaceae"	""	"Rubiaceae"	"Parcela 17"	"0.8"	"46.9"	"52"	""	"Viva"	""
"17786"	"37"	""	""	""	"Parcela 16"	"0"	"28.8"	"37"	""	"Viva"	""
"17787"	"2175"	"Sapotaceae"	"Chrysophyllum"	"Chrysophyllum"	"Parcela 16"	"0.4"	"43.5"	"35"	""	"Viva"	""
"17788"	"1000"	"Ochnaceae"	"Ouratea"	"Ouratea"	"Parcela 16"	"0.8"	"5.8"	"34"	""	"Viva"	""
"17789"	"2117"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 15"	"0.8"	"1.9"	"35"	""	"Viva"	""
"17790"	"1804"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 17"	"0.6"	"17"	"39"	""	"Viva"	""
"17795"	"2149"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Parcela 15"	"0.3"	"2"	"89"	""	"Viva"	""
"17796"	"336"	"Melastomataceae"	""	"Melastomataceae"	"Parcela 16"	"0.5"	"22.7"	"40"	""	"Viva"	""
"17800"	"2305"	"Arecaceae"	"Euterpe"	"Euterpe catinga"	"Parcela 14"	"0.3"	"27.8"	"29"	""	"Viva"	""
"17801"	"2509"	"Burseraceae"	"Protium"	"Protium"	"Parcela 14"	"0.3"	"35.8"	"26"	""	"Viva"	""
"17802"	"2366"	"Clusiaceae"	""	"Clusiaceae"	"Parcela 16"	"0.2"	"34.1"	"45"	""	"Viva"	""
"17803"	"2280"	"Burseraceae"	"Protium"	"Protium"	"Parcela 18"	"0.2"	"19"	"48"	""	"Viva"	""
"17804"	"1349"	"Malvaceae"	"Catostemma"	"Catostemma"	"Parcela 18"	"0.8"	"26"	"49"	""	"Viva"	""
"17805"	"583"	"Clusiaceae"	""	"Clusiaceae"	"Parcela 14"	"0.8"	"11.3"	"107"	""	"Viva"	""
"17806"	"894"	"Sapotaceae"	""	"Sapotaceae"	"Parcela 15"	"0.2"	"7.5"	"29"	""	"Viva"	""
"17807"	"2439"	"Malvaceae"	"Scleronema"	"Scleronema micranthum"	"Parcela 15"	"0.2"	"7.5"	"30"	""	"Viva"	""
"17808"	"172"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 15"	"0.2"	"7.8"	"53"	""	"Viva"	""
"17809"	"545"	"Malvaceae"	"Catostemma"	"Catostemma"	"Parcela 15"	"1"	"21.9"	"61"	""	"Viva"	""
"17810"	"1771"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Parcela 15"	"0.5"	"21.7"	"55"	""	"Viva"	""
"17811"	"53"	"Arecaceae"	"Oenocarpus"	"Oenocarpus bataua"	"Parcela 15"	"0.7"	"38.5"	"202"	""	"Viva"	""
"17812"	"1850"	"Pentaphylacaceae"	"Ternstroemia"	"Ternstroemia"	"Parcela 16"	"0"	"14.4"	"41"	""	"Viva"	""
"17813"	"2388"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 16"	"0.3"	"41.5"	"135"	""	"Viva"	""
"17817"	"2460"	"Sapotaceae"	"Pradosia"	"Pradosia"	"Parcela 13"	"1"	"49.3"	"107"	""	"Viva"	""
"17818"	"1266"	"Fabaceae"	"Andira"	"Andira micrantha"	"Parcela 19"	"0"	"30.4"	"35"	""	"Viva"	""
"17820"	"31"	"Melastomataceae"	"Miconia"	"Miconia"	"Parcela 14"	"0.2"	"16.9"	"124"	""	"Viva"	""
"17821"	"340"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 14"	"8.2"	"29"	"270"	""	"Viva"	""
"17822"	"84"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Parcela 17"	"0.7"	"23.3"	"35"	""	"Viva"	""
"17823"	"2062"	"Clusiaceae"	"Tovomita"	"Tovomita"	"Parcela 18"	"4.9"	"19.5"	"458"	""	"Viva"	""
"17824"	"460"	"Arecaceae"	"Mauritia"	"Mauritia carana"	"Parcela 19"	"0.2"	"32.2"	"331"	""	"Viva"	""
"17825"	"1414"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Parcela 19"	"0.6"	"44.1"	"167"	""	"Viva"	""
"17826"	"1920"	"Sapotaceae"	"Ecclinusa"	"Ecclinusa"	"Parcela 19"	"6.1"	"49.3"	"372"	""	"Viva"	""
"17833"	"2507"	"Rubiaceae"	""	"Rubiaceae"	"Parcela 13"	"0.8"	"17.2"	"27"	""	"Viva"	""
"17834"	"2133"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Parcela 13"	"0.9"	"23"	"35"	""	"Viva"	""
"17835"	"1554"	"Vochysiaceae"	""	"Vochysiaceae"	"Parcela 13"	"0.7"	"23"	"36"	""	"Viva"	""
"17836"	"910"	"Euphorbiaceae"	"Hevea"	"Hevea"	"Parcela 13"	"0.7"	"39.4"	"26"	""	"Viva"	""
"17837"	"2174"	"Chrysobalanaceae"	"Licania"	"Licania"	"Parcela 13"	"0.6"	"39.8"	"31"	""	"Viva"	""
"17838"	"1207"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 13"	"0.6"	"42.5"	"27"	""	"Viva"	""
"17839"	"502"	"Melastomataceae"	"Mouriri"	"Mouriri"	"Parcela 13"	"0.6"	"45"	"34"	""	"Viva"	""
"17840"	"2426"	"Sapotaceae"	""	"Sapotaceae"	"Parcela 14"	"0.9"	"4.6"	"34"	""	"Viva"	""
"17841"	"2212"	"Rubiaceae"	""	"Rubiaceae"	"Parcela 14"	"0.6"	"15.9"	"45"	""	"Viva"	""
"17842"	"45"	"Chrysobalanaceae"	"Licania"	"Licania"	"Parcela 14"	"0.7"	"19.7"	"31; 26"	""	"Viva"	""
"17843"	"694"	"Burseraceae"	"Protium"	"Protium"	"Parcela 14"	"0.2"	"27.8"	"32"	""	"Viva"	""
"17844"	"642"	"Malvaceae"	"Pachira"	"Pachira"	"Parcela 14"	"0.1"	"47"	"26"	""	"Viva"	""
"17845"	"290"	"Clusiaceae"	""	"Clusiaceae"	"Parcela 15"	"0.4"	"16.8"	"30"	""	"Viva"	""
"17846"	"1516"	"Arecaceae"	"Mauritiella"	"Mauritiella aculeata"	"Parcela 15"	"1"	"17.7"	"32"	""	"Viva"	""
"17847"	"1551"	"Sapotaceae"	""	"Sapotaceae"	"Parcela 15"	"1"	"27.8"	"62"	""	"Viva"	""
"17848"	"706"	"Nyctaginaceae"	"Neea"	"Neea"	"Parcela 15"	"0.8"	"31.6"	"26"	""	"Viva"	""
"17849"	"1792"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Parcela 15"	"0.7"	"36"	"25"	""	"Viva"	""
"17850"	"118"	"Arecaceae"	"Euterpe"	"Euterpe caatinga"	"Parcela 15"	"0.3"	"40.5"	"35"	""	"Viva"	""
"17851"	"1160"	"Icacinaceae"	"Emmotum"	"Emmotum"	"Parcela 15"	"0.1"	"40"	"37"	""	"Viva"	""
"17852"	"1041"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 17"	"0"	"1.8"	"25"	""	"Viva"	""
"17853"	"1588"	"Sapotaceae"	"Chrysophyllum"	"Chrysophyllum sanguinolentum"	"Parcela 17"	"1"	"14.1"	"44"	""	"Viva"	""
"17854"	"1829"	"Chrysobalanaceae"	"Licania"	"Licania"	"Parcela 18"	"0.7"	"5.6"	"42"	""	"Viva"	""
"17855"	"807"	"Elaeocarpaceae"	"Sloanea"	"Sloanea"	"Parcela 19"	"0.3"	"2.8"	"44"	""	"Viva"	""
"17861"	"2407"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 13"	"0.8"	"7.5"	"25"	""	"Viva"	""
"17862"	"148"	"Arecaceae"	"Euterpe"	"Euterpe catinga"	"Parcela 13"	"1"	"27.9"	"43"	""	"Viva"	""
