"WikiPlantaID"	"PlantaTag"	"Family"	"Genus"	"Species"	"LocalPai"	"LocalPai_DIMx"	"LocalPai_DIMy"	"Local"	"Local_DIMx"	"Local_DIMy"	"Local_Startx"	"Local_Starty"	"PlantaPos_X"	"PlantaPos_Y"	"PlantaPos_LADO"	"TraitName"	"TraitVariation"	"TraitVariationUNIT"	"TraitVariationDATE"	"CensoNome"
"17249"	"1255"	"Ochnaceae"	"Ouratea"	"Ouratea"	"Transecto 4"	"100"	"500"	"Parcela 52"	"10"	"50"	"0"	"0"	"0.5"	"4.5"	"D"	"DAP"	"50"	"mm"	"2016-05-23"	""
"17249"	"1255"	"Ochnaceae"	"Ouratea"	"Ouratea"	"Transecto 4"	"100"	"500"	"Parcela 52"	"10"	"50"	"0"	"0"	"0.5"	"4.5"	"D"	"Altura"	"12"	"m"	"2016-05-23"	""
"17779"	"2032"	"Sapotaceae"	""	"Sapotaceae"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"0.4"	"42.4"	"E"	"DAP"	"35"	"mm"	"2016-04-18"	""
"17779"	"2032"	"Sapotaceae"	""	"Sapotaceae"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"0.4"	"42.4"	"E"	"Altura"	"4"	"m"	"2016-04-18"	""
"17781"	"2376"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.8"	"15.7"	"E"	"DAP"	"38"	"mm"	"2016-04-17"	""
"17781"	"2376"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.8"	"15.7"	"E"	"Altura"	"3"	"m"	"2016-04-17"	""
"17782"	"2496"	"Myrtaceae"	""	"Myrtaceae"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.3"	"20.4"	"D"	"DAP"	"40"	"mm"	"2016-04-17"	""
"17782"	"2496"	"Myrtaceae"	""	"Myrtaceae"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.3"	"20.4"	"D"	"Altura"	"5"	"m"	"2016-04-17"	""
"17783"	"362"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.2"	"25.2"	"E"	"DAP"	"34; 44"	"mm"	"2016-04-17"	""
"17783"	"362"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.2"	"25.2"	"E"	"Altura"	"3"	"m"	"2016-04-17"	""
"17784"	"1921"	"Clusiaceae"	"Tovomita"	"Tovomita"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.2"	"43.2"	"E"	"DAP"	"33"	"mm"	"2016-04-17"	""
"17784"	"1921"	"Clusiaceae"	"Tovomita"	"Tovomita"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.2"	"43.2"	"E"	"Altura"	"4"	"m"	"2016-04-17"	""
"17785"	"360"	"Rubiaceae"	""	"Rubiaceae"	"Transecto 2"	"100"	"500"	"Parcela 17"	"10"	"50"	"0"	"0"	"0.8"	"46.9"	"E"	"DAP"	"52"	"mm"	"2016-04-17"	""
"17785"	"360"	"Rubiaceae"	""	"Rubiaceae"	"Transecto 2"	"100"	"500"	"Parcela 17"	"10"	"50"	"0"	"0"	"0.8"	"46.9"	"E"	"Altura"	"3"	"m"	"2016-04-17"	""
"17786"	"37"	""	""	""	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0"	"28.8"	"E"	"DAP"	"37"	"mm"	"2016-04-17"	""
"17786"	"37"	""	""	""	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0"	"28.8"	"E"	"Altura"	"3"	"m"	"2016-04-17"	""
"17787"	"2175"	"Sapotaceae"	"Chrysophyllum"	"Chrysophyllum"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.4"	"43.5"	"D"	"DAP"	"35"	"mm"	"2016-04-17"	""
"17787"	"2175"	"Sapotaceae"	"Chrysophyllum"	"Chrysophyllum"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.4"	"43.5"	"D"	"Altura"	"2"	"m"	"2016-04-17"	""
