"COLUNA"	"DEFINICAO"
"WikiPlantaID"	"Identificador da planta na base de dados onde estão os dados"
"TAG_NUM"	"Número da placa da árvore"
"FAMILY"	"Familia botanica"
"GENUS"	"Genero botanico, onde Indet= indeterminado nesse nivel"
"SPECIES"	"Epiteto da especie"
"LocalPai"	"Nome da localidade pai"
"LocalPai_DIMx"	"Dimensão X da localidade pai. Quando for uma parcela"
"LocalPai_DIMy"	"Dimensão Y da localidade pai. Quando for uma parcela"
"LOCAL"	"A localidade mais especifica da planta coletada"
"Local_DIMx"	"Dimensão X da localidade. Quando for uma parcela ou subparcela"
"Local_DIMy"	"Dimensão Y da localidade pai. Quando for uma parcela ou subparcela"
"PlantaPos_X"	"Posicao X da planta marcada em relacao ao LOCAL quando este for uma parcela"
"PlantaPos_Y"	"Posicao Y da planta marcada em relacao ao LOCAL quando este for uma parcela"
"PlantaPos_LADO"	"Para dados da grade do PPBio no PNVirua, indicando o lado das coordenadas X,Y"
"TraitName"	"Nome da variável à qual o dado da linha se refere"
"TraitVariation"	"Valor da variável à qual o dado da linha se refere"
"TraitVariationUNIT"	"Unidade de medida do valor da variável"
"TraitVariationDATE"	"Data de medição do valor da variável"
"TraitVariationDATE"	"Data de medição do valor da variável"
