"WikiPlantaID"	"TAG_NUM"	"NOME"	"NOME_AUTOR"	"FAMILY"	"GENUS"	"SP1"	"AUTHOR1"	"SP1_MORFOTIPO"	"RANK1"	"SP2"	"AUTHOR2"	"SP2_MORFOTIPO"	"CF"	"DETBY"	"DETDATA"	"COUNTRY"	"MINORAREA"	"MAJORAREA"	"GAZETTEER_CURTO"	"GAZETTEER_COMPLETA"	"GAZETTEER_SPECIFIC"	"LATITUDE"	"LONGITUDE"	"ALTITUDE"	"Pos_X"	"Pos_Y"	"Pos_LADO"	"Pos_REF"	"Pos_DIST"	"Pos_ANGULO"	"HABITAT_CLASSE"	"NOME_VULGAR"	"MARCADO_POR"	"DATA_MARCACAO"	"PROJETO"
"17249"	"1255"	"Ouratea"	"Ouratea"	"Ochnaceae"	"Ouratea"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Sitio Da Vozinha E Do Vozinho Transecto 4 Parcela 52"	"Parcela 52"	"-2.8568557743"	"-60.2290327661"	""	"0.5"	"4.5"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17779"	"2032"	"Sapotaceae"	"Sapotaceae"	"Sapotaceae"	""	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 19"	"Parcela 19"	"-2.8498957772"	"-60.233612638"	""	"0.4"	"42.4"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17781"	"2376"	"Macrolobium"	"Macrolobium"	"Fabaceae"	"Macrolobium"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 14"	"Parcela 14"	"-2.8477220982"	"-60.2340562083"	""	"0.8"	"15.7"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17782"	"2496"	"Myrtaceae"	"Myrtaceae"	"Myrtaceae"	""	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0.3"	"20.4"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17783"	"362"	"Aldina heterophylla"	"Aldina heterophylla Spruce ex Benth."	"Fabaceae"	"Aldina"	"heterophylla"	"Spruce ex Benth."	"0"	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0.2"	"25.2"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17784"	"1921"	"Tovomita"	"Tovomita"	"Clusiaceae"	"Tovomita"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0.2"	"43.2"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17785"	"360"	"Rubiaceae"	"Rubiaceae"	"Rubiaceae"	""	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 17"	"Parcela 17"	"-2.8490277473"	"-60.233787233"	""	"0.8"	"46.9"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17786"	"37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0"	"28.8"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17787"	"2175"	"Chrysophyllum"	"Chrysophyllum"	"Sapotaceae"	"Chrysophyllum"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0.4"	"43.5"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17788"	"1000"	"Ouratea"	"Ouratea"	"Ochnaceae"	"Ouratea"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0.8"	"5.8"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17789"	"2117"	"Aldina heterophylla"	"Aldina heterophylla Spruce ex Benth."	"Fabaceae"	"Aldina"	"heterophylla"	"Spruce ex Benth."	"0"	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 15"	"Parcela 15"	"-2.8481864557"	"-60.2340015583"	""	"0.8"	"1.9"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17790"	"1804"	"Macrolobium"	"Macrolobium"	"Fabaceae"	"Macrolobium"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 17"	"Parcela 17"	"-2.8490277473"	"-60.233787233"	""	"0.6"	"17"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17795"	"2149"	"Aspidosperma"	"Aspidosperma"	"Apocynaceae"	"Aspidosperma"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 15"	"Parcela 15"	"-2.8481864557"	"-60.2340015583"	""	"0.3"	"2"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17796"	"336"	"Melastomataceae"	"Melastomataceae"	"Melastomataceae"	""	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0.5"	"22.7"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17800"	"2305"	"Euterpe catinga"	"Euterpe catinga Wallace"	"Arecaceae"	"Euterpe"	"catinga"	"Wallace"	"0"	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 14"	"Parcela 14"	"-2.8477220982"	"-60.2340562083"	""	"0.3"	"27.8"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17801"	"2509"	"Protium"	"Protium"	"Burseraceae"	"Protium"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 14"	"Parcela 14"	"-2.8477220982"	"-60.2340562083"	""	"0.3"	"35.8"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17802"	"2366"	"Clusiaceae"	"Clusiaceae"	"Clusiaceae"	""	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0.2"	"34.1"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17803"	"2280"	"Protium"	"Protium"	"Burseraceae"	"Protium"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 18"	"Parcela 18"	"-2.8494838066"	"-60.2337269671"	""	"0.2"	"19"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17804"	"1349"	"Catostemma"	"Catostemma"	"Malvaceae"	"Catostemma"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 18"	"Parcela 18"	"-2.8494838066"	"-60.2337269671"	""	"0.8"	"26"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17805"	"583"	"Clusiaceae"	"Clusiaceae"	"Clusiaceae"	""	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 14"	"Parcela 14"	"-2.8477220982"	"-60.2340562083"	""	"0.8"	"11.3"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17806"	"894"	"Sapotaceae"	"Sapotaceae"	"Sapotaceae"	""	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 15"	"Parcela 15"	"-2.8481864557"	"-60.2340015583"	""	"0.2"	"7.5"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17807"	"2439"	"Scleronema micranthum"	"Scleronema micranthum (Ducke) Ducke"	"Malvaceae"	"Scleronema"	"micranthum"	"(Ducke) Ducke"	"0"	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 15"	"Parcela 15"	"-2.8481864557"	"-60.2340015583"	""	"0.2"	"7.5"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
