"COLUNA"	"DEFINICAO"
"WikiPlantaID"	"Identificador da planta na base de dados onde estão os dados"
"TAG_NUM"	"Número da placa da árvore"
"NOME"	"Taxonomia no nivel de identificacao sem autores"
"NOME_AUTOR"	"Taxonomia no nivel de identificacao, se em nivel de especie ou de infraespecie, nome dos autores incluidos"
"FAMILY"	"Familia botanica"
"GENUS"	"Genero botanico, onde Indet= indeterminado nesse nivel"
"SP1"	"Epiteto da especie"
"AUTHOR1"	"Autoridade do nome da especie"
"SP1_MORFOTIPO"	"Se o nome sp1 é morfotipo não publicado"
"RANK1"	"Categoria de nivel infra-especifico, variedade, subespecie, forma, etc."
"SP2"	"Nome da categoria infra-especifica"
"AUTHOR2"	"Autoridade do nome da categoria infra-especifica"
"SP2_MORFOTIPO"	"Se o nome sp2 é morfotipo não publicado"
"CF"	"Modificadores de nome como aff. cf. vel. aff. etc, indicado por quem fez a identificacao"
"DETBY"	"Nome da pessoa que fez a identificacao"
"DETDATA"	"Data de identificacao"
"COUNTRY"	"Nome do pais"
"MAJORAREA"	"Nome da primeira subdivisao administrativa do pais, provincias, estados, departamentos, cantoes, dependendo do pais"
"MINORAREA"	"Nome da subdivisao de MAJORAREA, geralmente os municipios ou condados"
"GAZETTEER_CURTO"	"Primeira divisão de MINORAREA"
"GAZETTEER_COMPLETA"	"As demais subdivisoes de MINORAREA. Quando houver mais de uma, concatenadas de forma hierarquica do maior para o menor"
"GAZETTEER_SPECIFIC"	"A localidade mais especifica da planta coletada"
"LONGITUDE"	"Longitude em decimos de grau, com valores negativos para posicoes W e valores positivos para posicoes E"
"LATITUDE"	"Latitude em decimos de grau, com valores negativos para posicoes S e valores positivos para posicoes N"
"ALTITUDE"	"Altitude em m sobre o nivel do mar"
"Pos_X"	"Posicao X da planta marcada em relacao ao GAZETTEER_SPECIFIC quando este for uma parcela"
"Pos_Y"	"Posicao Y da planta marcada em relacao ao GAZETTEER_SPECIFIC quando este for uma parcela"
"Pos_LADO"	"Para dados da grade do PPBio no PNVirua, indicando o lado das coordenadas X,Y"
"Referencia"	"Qual a referencia dos valores X e Y, em relacao a que vertice da parcela"
"Pos_DIST"	"Distancia em linha reta do GAZETTEER_SPECIFIC a planta marcada, para ser usada em combinacao com Pos_ANGULO, para as situacoes em que GAZETTEER_SPECIFIC e um marco de uma grade, numa trilha, etc."
"Pos_ANGULO"	"O angulo de direcao da planta a partir do GAZETTEER_SPECIFIC em relacao ao norte magnetico"
"HABITAT_CLASSE"	"Classe de habitat ou ambiente da planta"
"NOME_VULGAR"	"Nome vulgar registrado para o indivíduo"
"MARCADO_POR"	"Nome das pessoas que marcaram as árvores no campo"
"DATA_MARCACAO"	"Data da marcação da planta no campo"
"PROJETO"	"Projeto a que se refere o trabalho"
