"COLUNA"	"DEFINICAO"
"HAB_HAB"	"Hábito. (Forma de vida da planta). Variavel Categoria."
"HAB_DAP"	"DAP. (Diâmetro à altura do peito (1.3 m)). Variavel Quantitativo. Unidade de medida padrao cm."
"HAB_DAP_UNIT"	"Unidade da medicao da variavel HAB_DAP"
"HAB_ALT"	"Altura. (Altura total da planta). Variavel Quantitativo. Unidade de medida padrao m."
"HAB_ALT_UNIT"	"Unidade da medicao da variavel HAB_ALT"
"RAM_DIADORAMTER"	"Diâmetro do ramo terminal. (Diâmetro do ramo terminal medido no ponto abaixo da inserção da folhas agrupadas). Variavel Quantitativo. Unidade de medida padrao mm."
"RAM_DIADORAMTER_UNIT"	"Unidade da medicao da variavel RAM_DIADORAMTER"
"EST_COM"	"Comprimento. (Comprimento da estípula da base até o ápice). Variavel Quantitativo. Unidade de medida padrao mm."
"EST_COM_UNIT"	"Unidade da medicao da variavel EST_COM"
"EST_LARNABAS"	"Largura na base. (Largura da estípula medida na base). Variavel Quantitativo. Unidade de medida padrao mm."
"EST_LARNABAS_UNIT"	"Unidade da medicao da variavel EST_LARNABAS"
"EST_DUR"	"Duração. (Permanencia da estípula no caule). Variavel Categoria."
"PEC_COM"	"Comprimento. (Comprimento da base até o ápice do pecíolo). Variavel Quantitativo. Unidade de medida padrao mm."
"PEC_COM_UNIT"	"Unidade da medicao da variavel PEC_COM"
"IND_RAMTIP"	"Ramo Tipo. (Tipo de tricomas). Variavel Categoria."
"IND_RAMTAM"	"Ramo Tamanho. (Tamanho relativo do indumento). Variavel Categoria."
"IND_RAMDEN"	"Ramo Densidade. (Densidade do indumento na superfície observada). Variavel Categoria."
"FOL_FORINDOVAOUOBO"	"Forma index (ovada ou obovada). (Forma da lâmina, se for maior que 0.5 a folha é mais obovada, se for menor que 0.5 a folha é mais ovada). Variavel Quantitativo. Unidade de medida padrao mm."
"FOL_FORINDOVAOUOBO_UNIT"	"Unidade da medicao da variavel FOL_FORINDOVAOUOBO"
