"WikiPlantaID"	"COL_NOTDECENVIR"	"FLO_NOTDEFLO"	"COL_VIRIGUA"	"COL_TIPDEAMO"	"HAB_HAB"	"FRU_NOTDEFRU"	"COL_AMO"	"COL_AMO_UNIT"	"COL_FER"	"COL_NOT"	"HAB_DAP"	"HAB_DAP_UNIT"	"COL_DAP"	"COL_DAP_UNIT"	"COL_ABU"	"IMA_FOLFACABA"	"IMA_EXS"	"IMA_FOLFACADA"
"402"	"co"				"liana"	"Presença de frutos imaturos verdes."	"2"	"número"	"frutos"	"Cipó muito comum nas campinarans florestadas, principalmente em áreas inundáveis."
"803"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta pouco comum nas campinaranas florestadas presente principalmente no sub-bosque atingindo altura máxima de 8 metros."
"822"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta rara nas campinaranas estudadas. Ocorre principalmente nas campinaranas florestadas."
"827"	"co"	"Presença de flores com coloração alva."			"árvore"		"2"	"número"	"flores"
"837"	"co"				"árvore"		"1"	"número"	"estéril"	"Planta pouco abundante nas campinaranas florestadas e presente principalmente nas áreas sobre solos extremamente arenosos."
"840"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta comum principalmente no sub-bosque das campinaranas florestadas e inundáveis."
"869"	"co"		"9074"		"árvore"	"Presença de frutos imaturos de coloração esverdeada."	"3"	"número"	"frutos"	"Indivíduo muito comum no sub-bosque das campinaranas inundáveis"
"871"	"co"				"árvore"		"2"	"número"	"estéril"	"Espécie muito comum nas campinaranas florestadas do PARNA Viruá, principalmente no sub-bosque como arvoreta escandente."
"885"	"co"	"Presença de inflorescência com alta densidade de flores. Pétalas brancas e rosadas ."			"árvore"		"6"	"número"	"flores"	"Planta com altura aproximada de 5 metros e bastante comum nas campinaranas florestadas e aburstivas."
"890"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta muito comum nas campinaranas florestadas e inundáveis e ocorre principalmente no sub-bosque com alta abundância de indivíduos. Tronco com ritidoma rugoso marrom avermelhado."
"901"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta muito comum nas campinaranas florestadas principalmente no sub-bosque florestal. Odor agradável."
"910"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta pouco comum principalmente nas campinaranas florestadas na área de sub-bosque."
"912"	"co"	"Flores distribuídas e agrupadas ao longo do ramo vegetativo, coloração esverdeada e alvas. Tubo polínico amarelado."			"árvore"	"Frutos com pequenos espinhos na sua textura externa."	"6"	"número"	"flores; frutos"	"Planta emergente na campinarana florestada."
"915"	"co"	"Inflorescência localizadas no ramo terminal. Flores agrupadas de coloração alva. Ritidoma castanho claro e muito fissurado. Desprendimento do ritidoma papelífero."			"árvore"		"1"	"número"	"flores"
"917"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta muito comum nas campinaranas florestadas e inundáveis e ocorre principalmente no sub-bosque com alta abundância de indivíduos. Tronco com ritidoma rugoso marrom avermelhado."
"938"	"co"	"Presença de botões florais em desenvolvimento. Coloração esverdeada."			"árvore"		"2"	"número"	"flores"	"Espécies com abindância rara nas campinaranas estudadas."
"969"	"co"				"árvore"	"Frutos imaturos de coloração esverdeada e com látex."	"1"	"número"	"frutos; estéril"	"Indivíduo muito comum nas campinaranas florestadas. Exsudato bem amargo.. rvore muito comum nas campinaranas alagáveis do PARNA Viruá, principalmente no estrato dominante do dossel."
"1053"	"co"				"árvore"	"frutos arredondados e imaturos de coloração verde."	"1"	"número"	"frutos"	"Indivíduo de sub-bosque, aproximadamente 8 metros de altura"
"1057"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta comum nas campinaranas inundáveis e florestadas."
"1152"	"co"				"árvore"	"Presença de frutos imaturos de coloração verde. Fase de transiçãp flor-fruto."	"5"	"número"	"frutos"	"Indivíduo emergente na campinarana florestada atingindo o dossel. Altura aproximada do indivíduo de 12 m."
"1161"	"co"				"árvore"	"Presença de infrutescência e estado de maturação."	"1"	"número"	"frutos"	"Planta pouco comum nas campinaranas, principalmente encontrado nas transições com florestas sobre solos pouco mais argilosos."
"1173"	"co"	"Flores rosadas com corola de cor alva."			"árvore"		"1"	"número"	"flores"	"Indivíduo com altura aproximada de 7 metros, presente no sub-bosque da vegetação."
"1174"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta com abundância rara nas campinaranas estudadas e ocorre principalmente nas áreas inundáveis."
"1184"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta pouco comum nas campinaranas inundáveis e ocorre exclusivamente nas áreas florestadas."
