"COLUNA"	"DEFINICAO"
"COL_NOTDECENVIR"	"Notas de censo viruá. (Notas de censo das parcelas do PPBIO do PN Viruá). Variavel Categoria."
"FLO_NOTDEFLO"	"Notas de flores. (Notas gerais descrevendo aspectos da flor). Variavel Texto."
"COL_VIRIGUA"	"Viruá igual à. (Número de outras árvores que pertencem a mesma espécie). Variavel Texto."
"COL_TIPDEAMO"	"Tipo de amostras. (Tipo de material coletado, pode selecionar mais de 1). Variavel Categoria."
"HAB_HAB"	"Hábito. (Forma de vida da planta). Variavel Categoria."
"FRU_NOTDEFRU"	"Notas de frutos. (Notas gerais sobre frutos). Variavel Texto."
"COL_AMO"	"Amostras. (Número de duplicatas). Variavel Quantitativo. Unidade de medida padrao número."
"COL_AMO_UNIT"	"Unidade da medicao da variavel COL_AMO"
"COL_FER"	"Fertilidade. (Tipo de fertilidade de coleta). Variavel Categoria."
"COL_NOT"	"Notas. (Notas gerais de uma coleta). Variavel Texto."
"HAB_DAP"	"DAP. (Diâmetro à altura do peito (1.3 m)). Variavel Quantitativo. Unidade de medida padrao cm."
"HAB_DAP_UNIT"	"Unidade da medicao da variavel HAB_DAP"
"COL_DAP"	"DAP_POM. (Point of Measurement. Altura em que o DAP ou CAP foi medido). Variavel Quantitativo. Unidade de medida padrao m."
"COL_DAP_UNIT"	"Unidade da medicao da variavel COL_DAP"
"COL_ABU"	"Abundância. (Abundância da planta no local da coleta). Variavel Categoria."
"IMA_FOLFACABA"	"Folha face abaxial. (Imagem da face abaxial da folha). Variavel Imagem."
"IMA_EXS"	"Exsicata. (Imagens de plantas herborizadas digitalizadas). Variavel Imagem."
"IMA_FOLFACADA"	"Folha face adaxial. (Imagem da folha na face adaxial). Variavel Imagem."
